sqrt,massno,y,Label
20,208,0,85.7
20,208,0.1,84.8
20,208,0.3,81.5
20,208,0.5,77.3
20,208,0.7,67.4
20,208,0.9,57.6
20,208,1.1,50.6
20,208,1.3,40.2
20,208,1.5,31.2
20,208,1.7,22.4
20,208,1.9,15.4
20,208,2.1,10.1
20,208,2.3,6.2
20,208,2.5,3.5
30,208,0,98.1
30,208,0.1,97.6
30,208,0.3,94.1
30,208,0.5,88.8
30,208,0.7,77.8
30,208,0.9,71.6
30,208,1.1,63.8
30,208,1.3,51.5
30,208,1.5,41.6
30,208,1.7,32.2
30,208,1.9,23
30,208,2.1,16
30,208,2.3,10.8
30,208,2.5,6.3
40,208,0.1,107.52112
40,208,0.3,108.0013
40,208,0.5,102.85345
40,208,0.7,95.84172
40,208,0.9,88.21767
40,208,1.1,73.00022
40,208,1.3,61.37254
40,208,1.5,49.82808
40,208,1.7,38.18627
40,208,1.9,27.65747
40,208,2.1,19.77672
40,208,2.3,13.49568
40,208,2.5,7.89709
80,208,0.1,144.55623
80,208,0.3,139.75336
80,208,0.5,136.9847
80,208,0.7,126.30539
80,208,0.9,118.6554
80,208,1.1,108.21934
80,208,1.3,92.7891
80,208,1.5,79.21873
80,208,1.7,64.37996
80,208,1.9,51.91844
80,208,2.1,38.81539
80,208,2.3,28.15551
80,208,2.5,19.76911
158,208,0.1,185.33228
158,208,0.3,174.74762
158,208,0.5,166.10794
158,208,0.7,158.14037
158,208,0.9,146.22438
158,208,1.1,132.43951
158,208,1.3,119.71779
158,208,1.5,106.55493
158,208,1.7,91.0007
158,208,1.9,76.72681
158,208,2.1,62.26775
158,208,2.3,49.48188
158,208,2.5,35.38297
20,208,0,16.8
20,208,0.32,15.7
20,208,0.62,16.4
20,208,0.82,13.09
20,208,1.02,10.69
20,208,1.22,8.23
20,208,1.42,5.68
20,208,1.62,3.33
20,208,1.82,1.75
20,208,2.02,0.59
30,208,0,21.2
30,208,0.42,20.89
30,208,0.62,17.95
30,208,0.82,15.78
30,208,1.02,13.68
30,208,1.22,10.46
30,208,1.42,7.64
30,208,1.62,5.39
30,208,1.82,3.34
40,208,-0.12,20.5
40,208,0.08,20.8
40,208,0.28,20.2
40,208,0.68,19.254436
40,208,0.88,17.205088
40,208,1.08,15.194314
40,208,1.28,12.089968
40,208,1.48,8.982548
40,208,1.68,6.514044
40,208,1.88,4.362798
80,208,-0.17,25
80,208,0.13,24.6
80,208,0.33,25.033064
80,208,0.53,24.129496
80,208,0.73,22.318634
80,208,0.93,20.708033
80,208,1.13,18.710848
80,208,1.33,15.400168
80,208,1.53,12.12527
80,208,1.73,8.883679
158,208,0,29.5
158,208,-0.01,28.910601
158,208,0.19,29.929768
158,208,0.39,29.962925
158,208,0.59,28.605814
158,208,0.79,27.315981
158,208,0.99,25.188318
158,208,1.19,23.786499
158,208,1.39,20.703093
158,208,1.59,16.536522
158,208,1.79,12.431341
20,208,0,5.7
20,208,0.3,5.09
20,208,0.62,4.01
20,208,0.82,2.92
20,208,1.02,2.13
20,208,1.22,1.46
20,208,1.42,0.89
20,208,1.62,0.44
30,208,0,7.9
30,208,0.42,6.35
30,208,0.62,5.59
30,208,0.82,4.77
30,208,1.02,3.65
30,208,1.22,2.56
30,208,1.42,1.74
30,208,1.62,1.07
30,208,1.82,0.57
40,208,-0.02,8.15
40,208,0.18,7.95
40,208,0.68,6.717578
40,208,0.88,5.809915
40,208,1.08,4.602296
40,208,1.28,3.297702
40,208,1.48,2.2457
40,208,1.68,1.288056
40,208,1.88,0.72002
80,208,0,11.57
80,208,0.33,12.021232
80,208,0.53,11.386703
80,208,0.73,10.518475
80,208,0.93,9.137918
80,208,1.13,7.652029
80,208,1.33,5.978275
80,208,1.53,4.413082
80,208,1.73,3.067093
158,208,0,16.5
158,208,-0.01,16.790451
158,208,0.19,17.148977
158,208,0.39,16.908812
158,208,0.59,15.899167
158,208,0.79,15.141031
158,208,0.99,13.509307
158,208,1.19,11.444925
158,208,1.39,9.426563
158,208,1.59,7.572297
158,208,1.79,5.539633
,,,
,,,
,,,
,,,
