sqrt,massno,y,output
20,208,0,85.7
20,208,0.1,84.8
20,208,0.3,81.5
20,208,0.5,77.3
20,208,0.7,67.4
20,208,0.9,57.6
20,208,1.1,50.6
20,208,1.3,40.2
20,208,1.5,31.2
20,208,1.7,22.4
20,208,1.9,15.4
20,208,2.1,10.1
20,208,2.3,6.2
20,208,2.5,3.5
30,208,0,98.1
30,208,0.1,97.6
30,208,0.3,94.1
30,208,0.5,88.8
30,208,0.7,77.8
30,208,0.9,71.6
30,208,1.1,63.8
30,208,1.3,51.5
30,208,1.5,41.6
30,208,1.7,32.2
30,208,1.9,23
30,208,2.1,16
30,208,2.3,10.8
30,208,2.5,6.3
40,208,0.1,107.52112
40,208,0.3,108.0013
40,208,0.5,102.85345
40,208,0.7,95.84172
40,208,0.9,88.21767
40,208,1.1,73.00022
40,208,1.3,61.37254
40,208,1.5,49.82808
40,208,1.7,38.18627
40,208,1.9,27.65747
40,208,2.1,19.77672
40,208,2.3,13.49568
40,208,2.5,7.89709
80,208,0.1,144.55623
80,208,0.3,139.75336
80,208,0.5,136.9847
80,208,0.7,126.30539
80,208,0.9,118.6554
80,208,1.1,108.21934
80,208,1.3,92.7891
80,208,1.5,79.21873
80,208,1.7,64.37996
80,208,1.9,51.91844
80,208,2.1,38.81539
80,208,2.3,28.15551
80,208,2.5,19.76911
158,208,0.1,185.33228
158,208,0.3,174.74762
158,208,0.5,166.10794
158,208,0.7,158.14037
158,208,0.9,146.22438
158,208,1.1,132.43951
158,208,1.3,119.71779
158,208,1.5,106.55493
158,208,1.7,91.0007
158,208,1.9,76.72681
158,208,2.1,62.26775
158,208,2.3,49.48188
158,208,2.5,35.38297
